sample_id	NCBI_accession
25eb53f4-5fdd-4371-856d-f93557903e86	SRR19064423
00b83721-78dd-44ff-a0dd-fdbbbf3e105f	SRR19064422
d3a4cbdc-9259-48f4-88a0-7e07e96c13f8	SRR19064421
1c5b3872-febf-4cfe-9ac9-c345f01cab74	SRR19064420
83fb4909-c20d-4441-80e7-e1ffc4de2d5a	SRR19064419
37c1f5a2-5e20-4763-b0a7-18430678dd7d	SRR19064417
87f2537d-9567-4b25-92b6-bea505b1050d	SRR19064415
64683195-fd1a-41ff-bbb9-afb8a525a72c	SRR19064418
0e9e29f5-5850-4f5a-9e6c-b6b734155883	SRR19064414
a21873bd-7924-47de-9b2f-e92d1381f1b5	SRR19064413
ae55f7ac-7e27-4ecb-94d3-c62738d19734	SRR19064641
a147a0c4-1fd2-463c-bcd2-12f707683874	SRR19064640
a3102eca-1fee-42de-8e69-9d9c3f4b1cbc	SRR19064638
6094fcd3-5bdf-4a33-97b6-f1f88d8e3d35	SRR19064637
2f522e59-95ef-43d6-9a56-ce4d7c8f2487	SRR19064636
8d982662-1a2e-47a4-91cb-73108fc69b86	SRR19064639
80611414-4dd3-4cd2-830f-ac117b143f9b	SRR19064634
5b82870f-0a9a-4a2f-b793-79781a4fe582	SRR19064633
fe8e61a1-f5af-44af-8c30-0b5e8b7b0c91	SRR19064632
48c1ec5a-537e-496a-96a3-57db39047320	SRR19064630
1f6d1641-b6d9-4900-a5f7-511428665820	SRR19064629
0c4416d7-906b-4c23-990f-a2103ff80362	SRR19064628
5194c30f-8ebd-4261-b9d7-a0517d6c33b8	SRR19064631
0ee93b49-9617-4097-a315-8c740a7cc080	SRR19064627
55c79312-7c33-472f-909d-1d44eabbdc85	SRR19064626
2d8ff7d2-a4a7-4785-b1d2-0bcf3d031b9d	SRR19064625
bb024158-7dfa-4aea-8a9f-857073c44616	SRR19064622
e59fa921-f9de-4b8b-bd0e-ec85537ae048	SRR19064621
18addccc-dd32-45bd-969b-d69494b57ae4	SRR19064412
50dc110e-6766-4d60-9102-0669c369c3f8	SRR19064411
0df871c1-d79e-4303-96c9-633373c43280	SRR19064410
5feacfee-cae1-4541-a94a-8fe8585970b6	SRR19064409
5cd14875-8d05-4a9a-b9b9-8ed09a5da4e6	SRR19064408
0a74878a-37d3-4e61-998f-c164ffa66330	SRR19064407
55a92cef-91a2-4342-ba19-64b31c3b94f4	SRR19064406
14113222-62b7-47e6-a3fd-e4a09aa4aa5f	SRR19064404
09c9266c-eaf9-418f-be5b-8ba611e939b2	SRR19064402
6964b44f-f79c-4855-a5f4-db09cca4be82	SRR19064405
2da82330-e19d-444a-bce5-9ac4885af8fa	SRR19064401
53951613-8b3e-412d-acb4-4f9fb343c318	SRR19064400
cf1a10f7-5748-4c20-8646-531ce9bdb274	SRR19064399
300c722b-3008-43ce-97ea-eacad8faa081	SRR19064398
85a4f406-0977-4ed3-9b2a-18b88a70acd1	SRR19064396
3163c9a0-b610-458d-aee3-ce0750d4ae59	SRR19064395
753c6884-db67-4b4c-9159-17f5c08bb9dc	SRR19064394
f8cf0f60-525f-4416-b174-37fcf34d18f1	SRR19064397
4bb29374-ca82-43c9-bc0d-b51461d7d551	SRR19064392
98265f1e-8a58-4d2e-b18a-cc3f800714bf	SRR19064620
e8b1f3b8-c8e8-4718-92fe-4fa1684dcc68	SRR19064619
bb8c82d6-2d4d-40c8-9e0f-70830bd61b16	SRR19064618
8558f298-fa34-46ab-86da-d90e0b789eef	SRR19064617
d0e73641-f276-4254-b08a-239280cd5f74	SRR19064616
e17a49ce-03c7-4034-b50b-a28b311381c4	SRR19064615
8c6d61a0-5725-484f-a3d1-55090aa06000	SRR19064614
c549ae1f-7405-417a-a7d4-792b7497e7e2	SRR19064612
8bbd10f9-14b1-4950-96e5-263ad1c67496	SRR19064611
cd15deae-5387-4037-9e06-4afd3429731e	SRR19064613
5c61b375-c20b-458d-8e86-e82f778faff8	SRR19064609
90779d0d-813c-4ed2-9126-0eda6906dc61	SRR19064608
